id,parent_id,level,type,title,summary,source_tags
L4_22,L3_07,4,Leaf,全员战略转型邮件,"官宣：从""Robotaxi First""转向""Logistics First""。成立物流事业部（老周任 GM），原算法部升级为前瞻研究院（张博任首席科学家）。目标：年底交付 1000 台，2027 年现金流转正。",Persona_Simulations/11_CEO_Li_CloudMap/14_Email_All_Hands_Pivot.md
L1_02,,1,Container,产品研发与技术,Nexus AI 的产品和工程侧视角。工程师 Dave 与 VP Kevin 的技术路线之争（Python vs Rust）贯穿多份文档，PM Kevin 主导 Mobile App v2 产品决策，两者都指向同一个客户问题：GlobalBank 的稳定性要求。知识库 PRD 和 AI 组织 Prompt 是整个 Vault 的元层文档。,Knowledge_Base_Organization_Prompt.md; Knowledge_Base_Organization_Prompt_V2.md; Persona_Simulations/01_Developer_Dave/Architecture_Defense_Python_vs_Rust.md; Persona_Simulations/01_Developer_Dave/Code_Review_Notes_Security.md; Persona_Simulations/01_Developer_Dave/Final_Decision_Stay_or_Go.md; Persona_Simulations/01_Developer_Dave/Incident_Postmortem_GlobalBank_Outage.md; Persona_Simulations/01_Developer_Dave/RFC_Vector_Search_Optimization.md; Persona_Simulations/13_PM_Kevin/01_PRD_Mobile_App_v2.md; Persona_Simulations/13_PM_Kevin/03_User_Research_Interview_Notes.md; Persona_Simulations/13_PM_Kevin/04_Excel_Data_Export_DAU.md; Persona_Simulations/13_PM_Kevin/05_Jira_Ticket_Export_Bug.md; Persona_Simulations/13_PM_Kevin/08_Note_SQL_Self_Learning.md; Persona_Simulations/13_PM_Kevin/11_Reading_Notes_Product_Methodology.md; Persona_Simulations/13_PM_Kevin/14_Weekly_Report_W12.md; Product_PRD_Knowledge_Base_v2_FINAL.md
L2_03,L1_02,2,Container,工程团队 · Developer Dave,首席工程师 Dave 的工作记录。技术上推动 HNSW 向量搜索优化，力阻 Rust 重写；人事上正在考虑离职，去留取决于 CEO 是否在 Rust 争论中支持他。,Persona_Simulations/01_Developer_Dave/Architecture_Defense_Python_vs_Rust.md; Persona_Simulations/01_Developer_Dave/Code_Review_Notes_Security.md; Persona_Simulations/01_Developer_Dave/Final_Decision_Stay_or_Go.md; Persona_Simulations/01_Developer_Dave/Incident_Postmortem_GlobalBank_Outage.md; Persona_Simulations/01_Developer_Dave/RFC_Vector_Search_Optimization.md
L3_08,L2_03,3,Container,技术债与架构决策,搜索延迟瓶颈（P99 4000ms）的根因分析与解决方案，以及 Python vs Rust 技术路线争论。,Persona_Simulations/01_Developer_Dave/Architecture_Defense_Python_vs_Rust.md; Persona_Simulations/01_Developer_Dave/RFC_Vector_Search_Optimization.md
L4_23,L3_08,4,Leaf,RFC：向量搜索优化方案,根因：后过滤导致大租户（GlobalBank）全表扫描（4000ms P99）。方案：改为预过滤 + HNSW 索引 + TenantID 分区键，预计搜索空间缩小 99%。风险：重建索引需 48 小时宕机窗口，内存峰值 +20%。,Persona_Simulations/01_Developer_Dave/RFC_Vector_Search_Optimization.md
L4_24,L3_08,4,Leaf,架构辩护：为什么 Python 够用,延迟 80% 来自 DB 等待，只有 5% 是应用逻辑，Rust 只优化那 5%。方案：Python 控制面 + Rust 热路径（PyO3 扩展），先做 Log Ingestor POC 验证。反对理由：Rust 工程师招聘周期 3 个月，Python 2 周。,Persona_Simulations/01_Developer_Dave/Architecture_Defense_Python_vs_Rust.md
L3_09,L2_03,3,Container,事故与安全,GlobalBank P0 事故复盘及代码安全审查，两者都与 GlobalBank 安全审计直接相关。,Persona_Simulations/01_Developer_Dave/Code_Review_Notes_Security.md; Persona_Simulations/01_Developer_Dave/Incident_Postmortem_GlobalBank_Outage.md
L4_25,L3_09,4,Leaf,GlobalBank P0 事故复盘,宕机 4 小时 23 分。根因双重：Python 向量引擎内存泄漏（>1 万结果时不释放）+ 无查询限制（允许全向量空间扫描）。修复：添加查询限制器 + 强制元数据过滤。,Persona_Simulations/01_Developer_Dave/Incident_Postmortem_GlobalBank_Outage.md
L4_26,L3_09,4,Leaf,代码审查：安全漏洞（PR #142）,JWT 存储在 LocalStorage → XSS 攻击可窃取 token。要求改为 HttpOnly Cookie + SameSite=Strict。紧急原因：明天 GlobalBank 安全审计开始。,Persona_Simulations/01_Developer_Dave/Code_Review_Notes_Security.md
L4_27,L2_03,4,Leaf,去留决策矩阵,留：IPO 期权价值 $500 万+，但 Kevin 难共事，GlobalBank 事故损耗极大。走：Google L6 $500k+ TC，但成为螺丝钉。决定：给 CEO 最后一次机会，若支持 Rust 重写则立刻离职。,Persona_Simulations/01_Developer_Dave/Final_Decision_Stay_or_Go.md
L2_04,L1_02,2,Container,产品团队 · PM Kevin（工作）,PM Kevin 的核心任务：将 App Store 评分从 2.5 星提升到 4.5 星。用户调研揭示过度设计问题（Save 按钮被藏起来），DAU 数据显示留存危机（粘性仅 15%），GlobalBank PDF 导出是最紧急的 P0 Bug。,Persona_Simulations/13_PM_Kevin/01_PRD_Mobile_App_v2.md; Persona_Simulations/13_PM_Kevin/03_User_Research_Interview_Notes.md; Persona_Simulations/13_PM_Kevin/04_Excel_Data_Export_DAU.md; Persona_Simulations/13_PM_Kevin/05_Jira_Ticket_Export_Bug.md; Persona_Simulations/13_PM_Kevin/08_Note_SQL_Self_Learning.md; Persona_Simulations/13_PM_Kevin/11_Reading_Notes_Product_Methodology.md; Persona_Simulations/13_PM_Kevin/14_Weekly_Report_W12.md
L3_10,L2_04,3,Container,产品规划与方法论,Mobile App v2 PRD、用户调研洞察、产品方法论读书笔记。,Persona_Simulations/13_PM_Kevin/01_PRD_Mobile_App_v2.md; Persona_Simulations/13_PM_Kevin/03_User_Research_Interview_Notes.md; Persona_Simulations/13_PM_Kevin/11_Reading_Notes_Product_Methodology.md
L4_28,L3_10,4,Leaf,PRD · Mobile App v2.0,目标：App Store 2.5→4.5 星。核心功能：离线模式（销售人员刚需）、推送通知、生物识别登录。阻塞：Rust API 未就绪（mocking data），暗黑模式被 GlobalBank 高管嫌弃。修订时间线：Alpha 4/15，Launch 6/1。,Persona_Simulations/13_PM_Kevin/01_PRD_Mobile_App_v2.md
L4_29,L3_10,4,Leaf,用户研究访谈纪要,"45 岁会计用户：Save 按钮藏在三点菜单（可发现性失败），字体太灰（可读性失败），CSV 导出日期格式乱码（功能失败）。结论：设计师把""简洁""凌驾于""实用""之上。行动：下个 Sprint 恢复显式 Save 按钮。",Persona_Simulations/13_PM_Kevin/03_User_Research_Interview_Notes.md
L4_30,L3_10,4,Leaf,读书笔记：俞军产品方法论,"核心公式：产品价值 = (新体验 - 旧体验) - 替换成本。思考：Mobile App 相比 Web，新体验是否有质的飞跃？设计评审行动项：""这个改动值得用户重新学习吗？""",Persona_Simulations/13_PM_Kevin/11_Reading_Notes_Product_Methodology.md
L3_11,L2_04,3,Container,数据监控与问题处理,Q1 DAU 数据显示留存危机，GlobalBank PDF 导出 P0 Bug 仍靠临时方案支撑。,Persona_Simulations/13_PM_Kevin/04_Excel_Data_Export_DAU.md; Persona_Simulations/13_PM_Kevin/05_Jira_Ticket_Export_Bug.md; Persona_Simulations/13_PM_Kevin/08_Note_SQL_Self_Learning.md; Persona_Simulations/13_PM_Kevin/14_Weekly_Report_W12.md
L4_31,L3_11,4,Leaf,Q1 DAU 数据导出（Amplitude）,W3 服务器事故 DAU 跌至 1.02 万（-11%）。粘性（DAU/MAU）仅 15%，目标 20%。用户登录后只做一件事就离开，未形成探索习惯。,Persona_Simulations/13_PM_Kevin/04_Excel_Data_Export_DAU.md
L4_32,L3_11,4,Leaf,Jira P0：GlobalBank PDF 导出超时,500 页年度风险报告导出时 Nginx 504 超时。根因：Python worker RAM 耗尽，需流式响应而非增大超时。Dave 已离职，票据无人认领。临时方案：Lisa 将 worker 内存限至 8GB（治标）。,Persona_Simulations/13_PM_Kevin/05_Jira_Ticket_Export_Bug.md
L4_33,L3_11,4,Leaf,W12 周报,完成 v3.1 PRD 评审，GlobalBank PDF 问题临时解决，SQL 学习笔记准备分享。风险：移动端开发人手不足，可能延期。,Persona_Simulations/13_PM_Kevin/14_Weekly_Report_W12.md
L4_34,L3_11,4,Leaf,SQL 自学笔记,目标：不再找研发要数据，自己写 SQL 跑 DAU 周报。掌握：SELECT/WHERE、INNER JOIN / LEFT JOIN、COUNT DISTINCT、AVG。下周实战：自己跑数据报表，惊艳团队。,Persona_Simulations/13_PM_Kevin/08_Note_SQL_Self_Learning.md
L2_05,L1_02,2,Container,知识库系统设计文档,"Even AI 知识库产品的核心设计文档。PRD 定义了""AI First, Human Confirm""交互范式，AI Prompt 实现了最多 5 层的自适应知识图谱构建逻辑。这两份 Prompt 正是生成本图谱所使用的规则引擎。",Knowledge_Base_Organization_Prompt.md; Knowledge_Base_Organization_Prompt_V2.md; Product_PRD_Knowledge_Base_v2_FINAL.md
L4_35,L2_05,4,Leaf,知识库产品 PRD v2,核心价值：将被动输入（对话/文件/会议）转化为结构化主动资产。功能：AI 自适应分级（最深 5 层）、来源溯源、对话式校准、后台无感生长。生态集成：Conversate（实时会议助手）+ Even AI（异步对话）+ 全局搜索。,Product_PRD_Knowledge_Base_v2_FINAL.md
L4_36,L2_05,4,Leaf,AI 组织 Prompt V1,Architect 角色定义：基于内容密度和语义上下文构建层级知识图谱。核心规则：L1 永恒领域，L2 重要实体，L3-L5 自适应分解。叶子节点必须包含不可分割的原子事实，所有节点必须有 source_tags。,Knowledge_Base_Organization_Prompt.md
L4_37,L2_05,4,Leaf,AI 组织 Prompt V2,升级版 Prompt，新增规则：容器节点摘要必须包含子节点内容预览（bullet points），明确分支粒度规则，强制要求叶子节点 source_tags 不得省略。,Knowledge_Base_Organization_Prompt_V2.md
L1_03,,1,Container,企业管理与人才,Nexus AI HR 总监 Sarah 的管理工作全貌：混合办公政策推行（员工 70% 反对），Q1 绩效校准（S 级比例严重超标），PIP 模板，AI 工程师招聘，以及一起性骚扰调查处理。,Persona_Simulations/12_HR_Sarah/01_Policy_Draft_Hybrid_Work.md; Persona_Simulations/12_HR_Sarah/03_Meeting_Notes_Performance_Calibration.md; Persona_Simulations/12_HR_Sarah/05_Doc_PIP_Plan_Template.md; Persona_Simulations/12_HR_Sarah/06_Excel_Q2_Budget_Draft.md; Persona_Simulations/12_HR_Sarah/08_Job_Description_AI_Engineer.md; Persona_Simulations/12_HR_Sarah/11_Survey_Results_RTO.md; Persona_Simulations/12_HR_Sarah/13_Doc_Investigation_Log_SH.md
L2_06,L1_03,2,Container,HR 总监 · Sarah,制度建设（3+2 混合办公）与人员管理（绩效校准、PIP、招聘预算）并行，同时处理一起 KTV 晚宴性骚扰事件。,Persona_Simulations/12_HR_Sarah/01_Policy_Draft_Hybrid_Work.md; Persona_Simulations/12_HR_Sarah/03_Meeting_Notes_Performance_Calibration.md; Persona_Simulations/12_HR_Sarah/05_Doc_PIP_Plan_Template.md; Persona_Simulations/12_HR_Sarah/06_Excel_Q2_Budget_Draft.md; Persona_Simulations/12_HR_Sarah/08_Job_Description_AI_Engineer.md; Persona_Simulations/12_HR_Sarah/11_Survey_Results_RTO.md; Persona_Simulations/12_HR_Sarah/13_Doc_Investigation_Log_SH.md
L3_12,L2_06,3,Container,混合办公政策,"推行""3+2""模式（周一/二/四强制到岗，周三/五弹性）。背景：出勤率仅 40%，CEO 要求全员回归，员工调查 70% 反对。",Persona_Simulations/12_HR_Sarah/01_Policy_Draft_Hybrid_Work.md; Persona_Simulations/12_HR_Sarah/11_Survey_Results_RTO.md
L4_38,L3_12,4,Leaf,3+2 混合办公政策草案 v1,规则：每周 3 天强制到岗，2 天弹性远程。成本收益：共享工位退租一层，年省 ¥300 万。阻力：研发部强烈反对（在家写代码效率更高）。时间表：4/1 公告，5/1 正式执行。,Persona_Simulations/12_HR_Sarah/01_Policy_Draft_Hybrid_Work.md
L4_39,L3_12,4,Leaf,RTO 员工意愿调查报告,"90% 参与率，70% 反对回归。核心抱怨：平均通勤 1.5 小时、开放办公室噪声、COVID/流感风险。代表性评论：""5 天坐班是坐牢""。建议：推行 3+2，绝不尝试 5+0 全员到岗。",Persona_Simulations/12_HR_Sarah/11_Survey_Results_RTO.md
L3_13,L2_06,3,Container,绩效管理,Q1 绩效校准：S 级 35%（目标 15%），C 级 2%（目标 10%）。市场部全员 A+ 需纠偏，PIP 模板备用。,Persona_Simulations/12_HR_Sarah/03_Meeting_Notes_Performance_Calibration.md; Persona_Simulations/12_HR_Sarah/05_Doc_PIP_Plan_Template.md
